F1 	 F2 	 numVert1 	 numEdgeIn1 	 numEdgeOut1 	 min,max,ave_silhouette1 	numVert2 	 numEdgeIn2 	 numEdgeOut2 	 min,max,ave_silhouette2 	 numEdgeBetween 	 ave_s1+s2 	 joined_silhouette 	 difference
MZ22526867	MZ22500187	4	0	1	-1.0000	0.0000	-0.2500	18	23	122	-1.0000	1.0000	-0.2905	0	-0.2832	-0.3106	-0.0274	
MZ22524393	MZ22513599	3	3	33	0.0277	0.5042	0.2166	14	72	36	-0.2602	0.4723	0.0909	33	0.1132	0.8759	0.7627	
MZ22527539	MZ22524913	2	0	0	0.0000	0.0000	0.0000	14	16	0	0.0000	1.0000	0.8571	0	0.7500	0.7500	0.0000	
MZ22528218	MZ22509788	2	1	0	1.0000	1.0000	1.0000	35	37	58	-0.9778	1.0000	0.4890	0	0.5166	0.5165	-0.0002	
MZ22528813	MZ22524150	2	0	0	0.0000	0.0000	0.0000	15	101	0	1.0000	1.0000	1.0000	0	0.8824	0.8824	0.0000	
MZ22528743	MZ22509609	2	1	0	1.0000	1.0000	1.0000	16	64	6	0.5799	1.0000	0.9737	0	0.9767	0.9736	-0.0031	
MZ22528472	MZ22519883	3	1	0	0.0000	1.0000	0.6666	14	35	15	-0.7482	1.0000	0.1595	0	0.2491	0.1664	-0.0827	
MZ22528875	MZ22513314	2	1	13	0.7196	1.0000	0.8598	14	10	6	-0.9293	1.0000	0.5144	0	0.5576	0.4633	-0.0943	
MZ22530558	MZ22506226	2	1	0	1.0000	1.0000	1.0000	14	44	3	0.5200	1.0000	0.9401	0	0.9476	0.9396	-0.0081	
MZ22528769	MZ22508297	3	3	20	0.4728	0.8517	0.6116	14	39	25	-0.6373	1.0000	0.2176	20	0.2872	0.9201	0.6329	
MZ22525742	MZ22519193	4	0	17	-1.0000	-1.0000	-1.0000	13	35	138	-0.7765	0.6799	0.0202	11	-0.2198	0.1464	0.3662	
MZ22508040	MZ22503867	3	1	30	-0.5149	0.0000	-0.3390	15	8	0	0.0000	1.0000	0.3333	0	0.2213	0.1731	-0.0482	
MZ22528743	MZ22522532	2	1	0	1.0000	1.0000	1.0000	15	105	16	0.6379	0.7916	0.7686	0	0.7958	0.7667	-0.0292	
MZ22528939	MZ22506238	2	1	0	1.0000	1.0000	1.0000	15	99	28	-0.2261	1.0000	0.2037	0	0.2974	0.2062	-0.0911	
MZ22530567	MZ22505306	2	0	0	0.0000	0.0000	0.0000	14	78	19	0.0000	1.0000	0.8320	0	0.7280	0.7150	-0.0130	
MZ22510658	MZ22509401	3	2	28	-0.7296	0.8688	0.1418	15	98	27	0.3119	0.6836	0.4369	27	0.3878	0.9387	0.5509	
MZ22531194	MZ22517741	2	0	0	0.0000	0.0000	0.0000	14	89	28	0.7704	0.9084	0.8716	0	0.7627	0.7454	-0.0173	
MZ22529810	MZ22514452	3	0	0	0.0000	0.0000	0.0000	15	24	0	0.0000	1.0000	0.8000	0	0.6667	0.6667	0.0000	
MZ22500754	MZ22500106	4	6	211	0.0323	0.0717	0.0578	12	66	502	-0.0424	0.0538	0.0209	48	0.0302	0.1022	0.0720	
MZ22528316	MZ22520576	2	0	0	0.0000	0.0000	0.0000	14	68	38	0.6732	1.0000	0.8492	0	0.7431	0.7228	-0.0203	
MZ22527979	MZ22510562	2	1	17	0.6393	0.9061	0.7727	15	61	0	0.0000	1.0000	0.9333	0	0.9144	0.7552	-0.1592	
MZ22515259	MZ22523467	3	1	53	-1.0000	-0.0444	-0.3629	14	91	56	0.9070	0.9141	0.9119	0	0.6870	0.5719	-0.1151	
MZ22523409	MZ22502636	2	0	1	-1.0000	0.0000	-0.5000	21	68	65	-0.4658	1.0000	-0.0776	1	-0.1143	-0.0745	0.0398	
MZ22528949	MZ22524582	2	0	11	-1.0000	0.0000	-0.5000	15	19	0	0.0000	1.0000	0.8666	0	0.7059	0.7059	-0.0000	
MZ22528963	MZ22525996	2	1	36	0.0681	0.1915	0.1298	14	40	0	0.0000	1.0000	0.9285	0	0.8287	0.6971	-0.1316	
MZ22528651	MZ22504918	4	2	0	0.0000	1.0000	0.7500	14	91	403	0.0289	0.1047	0.0868	0	0.2342	0.0405	-0.1938	
MZ22518487	MZ22509506	3	3	60	0.4627	0.4629	0.4628	13	55	135	-0.4682	1.0000	-0.1788	30	-0.0586	-0.0080	0.0506	
MZ22531015	MZ22525780	2	1	28	0.0510	0.0574	0.0542	14	91	28	-0.0611	0.1043	-0.0162	28	-0.0074	1.0000	1.0074	
MZ22512069	MZ22507380	3	1	19	-1.0000	0.9424	0.2747	17	136	17	0.6131	0.7189	0.6366	17	0.5823	0.9172	0.3349	
MZ22528198	MZ22512960	2	0	0	0.0000	0.0000	0.0000	14	32	16	-1.0000	1.0000	0.6428	0	0.5625	0.5625	-0.0000	
MZ22527961	MZ22516164	2	1	64	0.0941	0.1205	0.1073	16	8	4	0.0000	1.0000	0.4447	0	0.4072	0.2850	-0.1223	
MZ22517798	MZ22522989	4	6	156	0.1302	0.1562	0.1458	13	78	234	0.1972	0.2354	0.2062	52	0.1921	0.5061	0.3140	
MZ22519119	MZ22518135	3	1	52	-1.0000	-0.1310	-0.4224	13	29	84	-0.4922	1.0000	0.3089	7	0.1718	0.0899	-0.0819	
MZ22511815	MZ22511180	2	1	89	-0.1197	-0.0239	-0.0718	16	120	587	-0.0760	0.0841	0.0149	32	0.0053	0.3399	0.3346	
