F1 	 F2 	 num_edges_between 	 s1 	 s2 	 s12 	 s 	 d 
MZ22526439	MZ22512338	6	-0.2266	-0.2289	-0.5482	-0.2279	-0.3203	
MZ22528237	MZ22500124	38	-0.3152	0.3911	0.3807	0.2948	0.0859	
MZ22513506	MZ22503822	47	0.8336	0.7250	1.0000	0.7670	0.2330	
MZ22526093	MZ22505773	15	0.9211	0.2630	0.2814	0.4824	-0.2009	
MZ22519550	MZ22523180	2	0.7388	0.8605	0.8549	0.7778	0.0772	
MZ22512998	MZ22523036	9	0.4486	0.6210	0.7919	0.5102	0.2817	
MZ22500758	MZ22503998	30	0.9273	0.9341	1.0000	0.9304	0.0696	
MZ22503464	MZ22521299	52	0.0821	-0.3276	0.0362	0.0262	0.0100	
MZ22500612	MZ22525034	6	0.9132	0.2556	0.6649	0.8192	-0.1543	
MZ22514999	MZ22515108	32	0.7999	0.3206	0.9408	0.6657	0.2751	
MZ22525113	MZ22518092	6	0.6188	0.7049	0.7407	0.6635	0.0773	
MZ22526090	MZ22504144	69	0.8184	0.7161	0.8919	0.7502	0.1418	
MZ22529034	MZ22501933	11	-0.5000	0.2450	0.4180	0.1705	0.2475	
MZ22516818	MZ22506830	44	-0.0780	-0.3616	-0.1281	-0.2714	0.1433	
MZ22512338	MZ22513976	4	-0.2289	-0.1852	-0.3881	-0.2170	-0.1712	
MZ22505640	MZ22522695	35	0.9150	0.8122	0.9495	0.8732	0.0763	
MZ22506078	MZ22516351	129	0.5638	0.2802	1.0000	0.4587	0.5413	
MZ22500196	MZ22505106	1	0.9707	0.8369	0.9531	0.9124	0.0407	
MZ22505929	MZ22519016	12	0.9393	0.9562	1.0000	0.9475	0.0525	
MZ22505171	MZ22518953	34	0.9124	0.9313	0.9971	0.9211	0.0760	
MZ22500804	MZ22523893	34	0.2046	-0.0924	0.1253	0.1659	-0.0406	
MZ22501933	MZ22505965	1	0.2450	-0.1765	-0.2132	0.0945	-0.3077	
MZ22515814	MZ22509903	14	0.9614	0.9445	1.0000	0.9525	0.0475	
MZ22525708	MZ22530583	10	0.6966	-0.3333	0.5799	0.4589	0.1210	
MZ22528120	MZ22503390	14	-0.5000	0.7693	0.9643	0.6787	0.2856	
MZ22526284	MZ22519758	22	0.9326	0.9165	0.9854	0.9226	0.0628	
MZ22522036	MZ22503489	56	-0.0570	0.3775	1.0000	0.3209	0.6791	
MZ22523962	MZ22501168	2	0.7365	0.2291	0.1800	0.3173	-0.1373	
MZ22519064	MZ22522640	10	0.7048	0.7725	0.7986	0.7285	0.0701	
MZ22515777	MZ22523373	15	0.6200	0.9604	0.6487	0.7850	-0.1363	
MZ22501588	MZ22520423	59	0.0958	0.0080	0.0341	0.0791	-0.0450	
MZ22514671	MZ22513384	3	0.6250	0.0218	0.3983	0.5298	-0.1314	
MZ22507700	MZ22508330	12	0.3523	0.1561	0.2577	0.3184	-0.0607	
MZ22529907	MZ22527531	2	0.8139	-0.2000	0.2872	0.0897	0.1975	
MZ22511848	MZ22529210	20	-0.0588	0.3800	-0.0604	0.0143	-0.0748	
MZ22509879	MZ22500897	105	0.3168	0.2602	1.0000	0.2744	0.7256	
MZ22524483	MZ22511312	7	0.4977	0.8519	0.4544	0.7287	-0.2743	
MZ22505394	MZ22507728	1	0.9554	0.8823	0.9750	0.9244	0.0506	
MZ22527216	MZ22526220	36	0.0968	0.4935	-0.0812	0.3200	-0.4012	
MZ22501676	MZ22500024	4	0.8333	0.1501	0.2038	0.4825	-0.2787	
MZ22521548	MZ22512538	54	-0.3595	0.5581	0.9545	0.3913	0.5633	
MZ22530861	MZ22514772	7	-1.0000	0.6693	0.9473	0.5024	0.4450	
MZ22523316	MZ22522230	24	0.2043	0.2153	-0.0567	0.2113	-0.2679	
MZ22504055	MZ22500731	187	0.1127	0.0991	0.7371	0.1044	0.6327	
MZ22515111	MZ22509153	13	0.9357	0.7053	0.8788	0.8170	0.0618	
MZ22514828	MZ22514613	11	0.7640	0.9671	1.0000	0.8791	0.1209	
MZ22501082	MZ22509596	62	-0.0086	0.3374	0.3859	0.0490	0.3368	
MZ22530582	MZ22502600	16	-0.5000	0.3892	0.3082	0.2904	0.0178	
MZ22525785	MZ22512051	4	0.5915	0.6519	0.5817	0.6354	-0.0537	
MZ22524837	MZ22518420	11	0.9048	0.9198	0.9021	0.9139	-0.0117	
MZ22500723	MZ22507455	144	0.1114	0.2530	0.9564	0.1550	0.8014	
MZ22515960	MZ22519482	53	0.8471	0.7795	0.9534	0.8175	0.1359	
MZ22500047	MZ22527962	2	0.0112	0.0449	-0.1851	0.0148	-0.1999	
MZ22500986	MZ22528058	5	0.5501	-0.5000	0.8552	0.4501	0.4052	
MZ22501250	MZ22520217	54	0.5058	-0.1555	0.3565	0.3855	-0.0291	
MZ22500821	MZ22530165	18	0.0527	-1.0000	0.1942	-0.0058	0.2000	
MZ22529598	MZ22518795	23	0.7138	0.6991	0.7749	0.7005	0.0744	
MZ22502055	MZ22502965	14	0.9822	0.0544	0.3311	0.5559	-0.2248	
MZ22526824	MZ22512001	4	0.9795	0.7467	0.7533	0.7910	-0.0377	
MZ22523596	MZ22504089	88	0.1628	0.0436	1.0000	0.0619	0.9381	
MZ22522128	MZ22529597	15	0.1098	-0.0114	-0.0771	0.0644	-0.1415	
MZ22514418	MZ22529557	17	0.5299	0.2210	0.9524	0.5005	0.4519	
MZ22509545	MZ22524137	54	0.1295	0.2293	0.9215	0.1438	0.7777	
MZ22528592	MZ22506065	1	0.2095	0.3548	-0.0221	0.3257	-0.3478	
MZ22501321	MZ22514099	46	0.0046	0.2776	0.5767	0.0256	0.5511	
MZ22509128	MZ22511812	156	0.6397	0.4895	0.9071	0.5558	0.3513	
MZ22528178	MZ22512842	1	0.1290	0.6439	0.3962	0.5647	-0.1685	
MZ22518171	MZ22531084	6	0.1485	-0.5000	0.3097	0.0802	0.2295	
MZ22505401	MZ22506539	1	0.7931	0.9576	0.9129	0.8802	0.0328	
MZ22503963	MZ22517214	4	0.4408	0.6168	0.4013	0.4995	-0.0982	
MZ22510807	MZ22517047	135	0.2719	0.5552	0.4767	0.3664	0.1104	
MZ22504980	MZ22511256	67	0.2061	0.0019	-0.0567	0.1380	-0.1947	
MZ22523546	MZ22531075	10	0.1718	-0.5000	0.0529	0.0684	-0.0155	
MZ22530426	MZ22529079	6	-0.5000	-0.0143	-0.0945	-0.1222	0.0277	
MZ22500214	MZ22530216	1	0.6078	0.3333	0.7108	0.5564	0.1544	
MZ22504075	MZ22512554	7	0.1729	0.8378	0.4823	0.5161	-0.0338	
MZ22504657	MZ22528470	3	0.9139	0.0219	0.6594	0.7864	-0.1271	
MZ22512875	MZ22504299	3	-0.3039	0.0000	-0.0681	-0.1688	0.1007	
MZ22528007	MZ22502480	1	-0.5000	0.9208	0.8064	0.7712	0.0351	
MZ22527482	MZ22527898	11	-0.1465	0.8273	0.2124	0.2013	0.0111	
MZ22523803	MZ22512869	51	0.1129	0.1217	0.3316	0.1204	0.2112	
MZ22529287	MZ22518378	36	-0.2456	0.1975	0.9965	0.1532	0.8433	
MZ22502461	MZ22501980	13	0.2832	0.3360	-0.1893	0.3145	-0.5038	
MZ22516818	MZ22514028	20	-0.0780	0.5052	-0.0486	0.2500	-0.2986	
MZ22506439	MZ22506447	187	0.6160	0.6911	0.9714	0.6525	0.3189	
MZ22522049	MZ22500347	57	0.1595	0.2439	1.0000	0.2324	0.7676	
MZ22530799	MZ22524793	9	-0.5000	0.2457	0.4186	0.1310	0.2876	
MZ22516885	MZ22503818	13	0.8182	0.9843	0.9074	0.8828	0.0246	
MZ22504216	MZ22527545	57	0.5291	0.5429	1.0000	0.5310	0.4690	
MZ22506857	MZ22504716	11	0.1646	0.4671	0.0617	0.3720	-0.3104	
MZ22515097	MZ22528405	19	0.1681	-0.1469	0.1445	0.1310	0.0135	
MZ22521116	MZ22526294	12	0.2064	0.9490	0.3126	0.5364	-0.2239	
MZ22510682	MZ22519703	101	0.3543	0.3618	0.7274	0.3565	0.3708	
MZ22519304	MZ22529918	2	-0.1724	-0.5000	-0.2110	-0.2379	0.0269	
MZ22525760	MZ22512964	39	0.8735	0.4443	0.6118	0.6320	-0.0203	
MZ22517731	MZ22524325	19	0.8107	0.5844	1.0000	0.7418	0.2582	
MZ22526709	MZ22523089	26	0.3114	0.6445	0.4252	0.5404	-0.1153	
MZ22526482	MZ22503461	33	0.8283	0.9208	0.9688	0.8861	0.0827	
MZ22529742	MZ22500088	8	-0.5000	0.1544	0.0356	0.0921	-0.0565	
MZ22509756	MZ22519849	3	0.1027	0.8522	0.2132	0.4775	-0.2643	
MZ22505797	MZ22507144	15	0.9048	0.5131	0.5130	0.7089	-0.1959	
MZ22502736	MZ22510759	79	0.6439	0.5716	0.8220	0.6161	0.2059	
MZ22507635	MZ22516286	3	0.9015	0.7923	0.9102	0.8562	0.0540	
MZ22528559	MZ22500818	29	0.0712	-0.0238	-0.0278	-0.0143	-0.0136	
MZ22528257	MZ22528877	4	-1.0000	0.0233	-0.2797	-0.4884	0.2087	
MZ22511525	MZ22512842	2	0.3154	0.6439	0.2525	0.5279	-0.2754	
MZ22505732	MZ22522217	133	0.1231	0.3842	1.0000	0.1862	0.8138	
MZ22513172	MZ22505186	1	0.7647	0.9891	0.9357	0.8801	0.0555	
MZ22500094	MZ22528373	16	0.2587	0.3634	0.1199	0.2748	-0.1549	
MZ22529361	MZ22526051	6	0.6195	0.3072	0.8667	0.3488	0.5178	
MZ22526545	MZ22525895	15	0.9417	-0.2709	0.5146	0.4869	0.0277	
MZ22524741	MZ22526144	8	0.7539	0.6322	0.9626	0.7283	0.2343	
MZ22502787	MZ22512809	2	0.6597	0.7450	0.5909	0.6993	-0.1084	
MZ22517925	MZ22505206	90	0.1351	0.0199	0.3920	0.0449	0.3471	
MZ22504374	MZ22500003	62	0.0426	0.2282	0.1258	0.1928	-0.0670	
MZ22511083	MZ22500571	67	-0.1000	0.3182	0.2441	0.2103	0.0339	
MZ22500923	MZ22515793	11	-0.3204	-0.2365	-0.3571	-0.3080	-0.0490	
MZ22509027	MZ22513028	1	0.9865	0.8125	0.9706	0.9046	0.0659	
MZ22517442	MZ22512176	4	0.9852	0.9542	0.9580	0.9697	-0.0117	
MZ22526415	MZ22519260	5	0.6000	0.4602	0.3638	0.5084	-0.1445	
MZ22511812	MZ22508707	18	0.4895	0.5160	0.1444	0.5020	-0.3576	
MZ22505652	MZ22500845	124	0.1991	0.2200	1.0000	0.2144	0.7856	
MZ22520454	MZ22529340	33	-0.0021	0.1540	0.9175	0.0143	0.9032	
MZ22518108	MZ22530994	3	0.9570	-1.0000	1.0000	0.7613	0.2387	
MZ22529020	MZ22517097	12	0.0416	0.2103	0.0947	0.1681	-0.0734	
MZ22529947	MZ22526094	2	0.2728	0.7771	0.5400	0.7098	-0.1698	
MZ22527982	MZ22500190	36	0.0971	0.0346	0.0377	0.0409	-0.0031	
MZ22525286	MZ22518903	12	0.7634	0.9477	0.7968	0.8526	-0.0558	
MZ22520288	MZ22520230	200	0.7303	0.6001	0.6222	0.6479	-0.0257	
MZ22507224	MZ22529682	4	0.7094	-0.5000	0.8750	0.5582	0.3168	
MZ22500247	MZ22521698	103	0.0089	0.3711	0.1946	0.0893	0.1052	
MZ22509012	MZ22513895	5	0.0991	0.9634	0.2642	0.5189	-0.2547	
MZ22505160	MZ22508571	3	0.9529	0.7921	0.8916	0.8919	-0.0004	
MZ22527928	MZ22526471	1	-0.3333	0.3333	0.0778	0.0000	0.0778	
MZ22511524	MZ22513921	34	0.3091	0.2782	0.2735	0.2937	-0.0202	
MZ22528684	MZ22501301	36	0.1563	0.0897	1.0000	0.0964	0.9036	
MZ22528391	MZ22505593	19	-1.0000	0.7129	1.0000	0.5326	0.4674	
MZ22507135	MZ22506348	42	-0.0006	0.0228	0.9185	0.0035	0.9150	
MZ22521387	MZ22505146	7	0.7964	0.6632	0.5504	0.7190	-0.1687	
MZ22503864	MZ22517104	2	0.2845	-0.2500	0.1527	0.1827	-0.0300	
MZ22520188	MZ22522889	2	0.6127	0.7473	0.7983	0.7248	0.0735	
MZ22502033	MZ22516715	200	-0.0249	0.3594	0.2285	0.0763	0.1523	
MZ22513688	MZ22514420	1	0.6914	0.4813	0.3827	0.5813	-0.1986	
MZ22517955	MZ22526138	7	0.9273	0.6529	0.9545	0.8774	0.0772	
MZ22523261	MZ22526709	2	0.5277	0.3114	-0.0268	0.4505	-0.4773	
MZ22504608	MZ22526124	16	-0.1262	-0.3507	-0.1931	-0.1824	-0.0108	
MZ22511209	MZ22526740	27	0.5449	0.2638	0.8432	0.4922	0.3511	
MZ22528714	MZ22505668	14	-1.0000	0.0284	0.1253	-0.0573	0.1826	
MZ22508310	MZ22501296	4	0.4638	0.9908	0.6746	0.8454	-0.1709	
MZ22529181	MZ22509012	36	0.1827	0.0991	0.9774	0.1074	0.8700	
MZ22508297	MZ22528769	20	0.2176	0.6117	0.9201	0.2872	0.6329	
MZ22518614	MZ22512035	5	0.8461	0.9888	0.9429	0.9236	0.0193	
